Album Title,Song Title,Track,Lyrics,Duration,Release Date,Instruments,Synthesizer,Pedal Steel Guitar,Vocals,Backup Vocals,Banjo,Clarinet,Alto Sax,Tambourine,Kneeclaps,Harmonica,Electric Guitar,Bass Guitar,Keyboard,Piano,Classical Guitar,Trumpet,Acoustic Guitar,Flute,Trombone,Singing Saw,Drums,Genres,Folk,Country,Pop,Americana,Electronic,Rock,HipHop,Blues,Alternative,Indie,Gospel,ISRC
Devil Rides Beside,Half Moon,1,"Well I got a half moon, 
Yes I got a half moon mistletoeing me 
Half moon, that's quite a half smile you got there 
Half moon, you half full or just fooling me? 

Dark road, 
I see a dark road staring back at me 
Dark road, you seem to darken forever 
Dark road, what secrets do your shadows keep? 

Now am I half damned, am I half saved? 
Am I half grown, or am I halfway in the grave? 
Half moon, half moon...

Half moon, it's such a long time to knowing 
Half moon, I see your dark side is growing
Half moon, but while your light side is showing 
Half moon, would you shine it down my way?

Stray wind, 
I heard a stray wind blowing from the sea
Stray wind, I asked you where you were going 
Stray wind, you never got back to me 

I’ve got this half heart, 
I've got this half heart bearing down on me 
Half heart, you gotta beat so slowly? 
Half heart, you're gonna seal my misery 

Am I half broke, am I half made? 
Am I half flown, or am I halfway here to stay? 
Half moon, half moon...

Half moon, it's such a long time to knowing 
Half moon, I see your dark side's a growing 
Half moon, but while your light side is showing 
Half moon, would you shine it down my way?",0:04:27,5/1/2020,synthesizer;electric guitar;classical guitar;flute;trombone;piano;bass guitar;drums;vocals;backup vocals;,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,folk;indie;,1,0,0,0,0,0,0,0,0,1,0,QZDA82018393
Oh My Love,"Honey, Don't Cast Your Anchor",6,"Honey, don't light your candle
Honey, don't blow it out
Honey, don't take your sandals
'Cause the floorboard's leaking out

Honey, don't raise your wineglass
Honey, don't make a toast
Honey, don't pray to the dead man
'Cause he ain't no holy ghost

Honey, don't cast your anchor
Honey, don't rock the boat
Honey, you're in real danger
And I don't think this ship is gonna float

Honey, I can see the searchlight shining
But honey it's getting dim
And honey, they took all the lifeboats
So I guess we're gonna have to swim

Honey, don't turn that sail around
And honey, don't twist the wheel
Honey, better jump the deck right now
'Cause the wind ain't gonna heel

Honey, don't wake the sailors
Honey, just let 'em row
Honey, they don't need no favors
I don't think this ship's a gonna hold

Honey, please heed the warning
Honey, don't let it slide
'Cause honey, if you wait till morning
No one will survive

Honey, you could ignore me
And I would be alright
But please don't come a calling me
When the sea salt's in your eyes

I told you honey, don't cast your anchor
Honey, don't rock the boat
Honey, you're in real danger
And I don't think this ship's a gonna 
I don't think this ship's a gonna float",0:03:29,12/25/2020,vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,folk;americana;country;,1,1,0,1,0,0,0,0,0,0,0,QZPLR2031050
I Love America,I Love America,1,"I like the smell of diesel drifting through the air
While I ride on down to the west coast,
With the wind blowing through my hair
I like dreaming of us naked there

That's what I believe in when you feed me DMT
In the comfort of your bathtub with a tube of gasoline
I'm setting fire to every MVD

I like your ripped blue jeans,
Your discount smile, your fever dreams
You wrap around my thigh
And yes, I love America
You know I love America
Oh God I love America,
Yes I do

And I like your potholes, pigeon punks, and parking lots
Your walking crazy psychos at the downtown city bus stops
I like your hipsters, calling all the shots

And I like your songwriters fighting for the cause
As you stumble down arroyos with your sawtooth string guitars
Under tunnels, screaming all night long

I like your New York blues,
Your California attitudes,
Your Dallas, Texas pride
And yes, I love America
You know I love America
Oh God I love America,
Yes I do

And I like your fireworks, your frightened falling stars
That drop down from the heavens onto all who disregard
Your vision, and your national guard

And I like that bold bald eagle crying from above
And lovely Lady Liberty, she’s calling out to God for love, and mercy,
Justice for us all

I like your liberty, hypocrisy, stupidity
And mostly just because
My God, I love America
Oh honey I love America
Oh yes I love America
My God, I love America
Oh yes I do",0:04:23,7/4/2020,vocals;harmonica;classical guitar,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,folk;indie;,1,0,0,0,0,0,0,0,0,1,0,QZHN92091235
Devil Rides Beside,In Harlem,10,"Beyond the wild, forgotten streets
The frozen fires and sleeping kings
And the fields of rotting dreams I hear a lonesome melody / As she’s sweeping up on Aisle 2 in Harlem

In the restaurant missing a front porch step
The french fries taste like cigarettes
The whole place smells like death but yet it’s home to me
And the jazz band's playing softly on the roof in Harlem

And they were singin’, ooooooh
Though the devil rides beside every step
My lord above is watching yet in Harlem
Gonna keep my heart on a silver string
My broken bell, gonna let it ring in Harlem

Well my back is bent as a girder rail
And my best friend’s stuck in county jail
And I can’t afford to pay the bail so I keep working
But there’s always something more that you can do in Harlem

As I lie awake in the sleeping car
With a dime to spare and my deck of cards
I stare up toward the stars and watch ‘em shuffle into the sea
I been prayin’ that the big man comes to save me soon from Harlem

And I was singin’, ooooooooh
Though the devil rides beside each step
My lord above is watching yet in Harlem
Gonna keep my heart on a silver string
My broken bell, gonna let it ring in Harlem

I got a good ol’ feeling this world don’t mean a thing",0:04:58,5/1/2020,alto sax;clarinet;piano;banjo;bass guitar;drums;classical guitar;electric guitar;vocals;backup vocals;pedal steel guitar,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,folk;rock;indie;,1,0,0,0,0,1,0,0,0,1,0,QZDA82018399
Devil Rides Beside,Junebug,3,"Rising like a sun or like a phoenix
Rising like a slow smoke from a gun
I always thought you’d be there when I needed
But boy how I was wrong
I’ll never put my finger on it now

The city streets are lined with carbon cancer
There’s another virus spreading from the coast
And everywhere I look looks like disaster
I tried my best to cope
But I’m on the edge and hanging by a rope

Now I’m driving down to Phoenix
I’m gonna let it go
Am I headed for the helix or for the host?
Will I ever know?

Junebug, let’s go dancing on the river
Junebug, I will fly you by a string
The tide is rising high, and the moon’s a sliver
But that don’t mean a thing
Cause in your arms I feel just like a king

Why don’t you come on over, Angelina?
Why don’t we have fun on Mardi Gras?
I’m on my hind legs, I’m ready to receive ya
I’m begging to the gods,
I never thought that I could be so lost…

But now I’m starting to believe it
I gotta let it go
Am I headed for the helix or for the host?
Lord, will I ever know?

Tell me: Will I love, will I love, will I love, love anything I do?
If you do it true. If I do it for you?
You will love, you will love, you will love, love everything you do
If I do it true? If you do it for love.",0:06:03,5/1/2020,electric guitar;classical guitar;synthesizer;vocals;backup vocals;pedal steel guitar;bass guitar;drums,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,folk;rock;indie;alternative;,1,0,0,0,0,1,0,0,1,1,0,QZDA72097782
Oh My Love,Just for a Moment,5,"Applebee, the lights are low
And you're holding me, in your arms so slow
You kiss my cheek before I go
Tell me, what am I supposed to do?

And on the beach, we're digging holes
And you look at me as if I know
That some things speak, and some things show
That's why I'm close to you

Oh, but I got this feeling
That tomorrow you won't feel it
So tonight, I'm begging you

To hold me close, spin me right,
If just for a moment, tonight
Tonight, be mine

And in my bed, I'm losing sleep
'Cause you're in my head, and I'm in too deep
But I won't forget what you said to me,
""Honey, I just don't think we're gonna make it through""

But you're in my veins, honey you're in my blood
I'm off the reins, darlin' I'm in the mud
I prayed for rain, and you gave me sun
Now you burn me just by being you

Oh, now I can't believe it
I think I must, I must be dreaming
That tonight, I'm begging you

To hold me close, spin me right
If just for a moment, tonight
Tonight, darlin'

Love me slow, stride to stride,
If just for a moment, tonight
Tonight, be mine",0:07:20,12/25/2020,vocals;backup vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,folk;rock;country;americana;,1,1,0,1,0,1,0,0,0,1,0,
Labyrinth of Faith,Labyrinth of Faith,1,"There is a calm before the storm, a peace before the war, a rose for every thorn
On the solid rock that's where I'll be reborn

No gust of wind or earthly whim could set me tumbling down that canyon floor
An unsubsiding hope that fortifies my trembling core

They call it faith, faith that could make it through the night
Faith in each step that it will take
Faith only god is gonna make things right

My lamp light's out the chilly wind whips young curses through the overgrowing plains
I cross my heart and watch it fly away

I'm roaring toward the shore unsure if tides will rise in troubled times that bind
Hope is on the run, I walk the plank and hope to die

'Cause I got faith, faith that i'm sinking like a ship
Faith I might drown in some abyss
Faith I'll be shrouded in an ocean crypt

Truth is truth no matter who or what or where or when or why it's speaking to or from
Truth is truth like water rushing, rising like the sun

And even if my friends forsake me, castigate me, feed me to their hungry hounds
I'll keep marching up to Zion 'till the walls come crashing down

With courageous fear and justified inaction reining 'neath a sullied sky
Leave me as I am or let me die

They say it's great to make mistakes then leave you at the stake before you ever try
Love me as I am or let the bloodshed multiply

'Cause you've got faith, faith that your world's about to break
Faith that you can take and take and take
Faith in shackles tethering you to freedom's gate

When all seems wrong you said once ""I am strong"", so don't forget that you were right
One day we'll sing an ode to endless dawn

When all goes wrong you sweet black swan go on go on your own path toward the light
And we shall ride in carriage horses drawn

And we'll have faith, faith in this mountain we must climb
Faith in the majesty up high
Faith that this little light of mine, it's gonna shine

There is a calm before the storm, a peace before the war, a rose for every thorn
On the solid rock that's where I'm still reborn

What is that sun it's something ancient bright and brilliant beaming in my mortal eye?
It is the candlestick, the wick of humankind

I stretch my hands out toward another ship another shore I'm sure my words can not define
A promised land defying race and creed, beyond the colored sky

That's where we'll walk in, hand-in-hand in understanding, peace and patience will survive
And someday in love, we'll meet again where roses never die

'Cause I got faith, faith that I'll make it through the night
Faith in each step that I shall take
Faith that my god is gonna make things right

And I got faith, faith that thy kingdom will come
Faith that thy will will be done
Faith that this earth is gonna sing as one",0:07:00,6/19/2020,vocals;classical guitar,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,folk;,1,0,0,0,0,0,0,0,0,1,0,QZHN72092193
Devil Rides Beside,Looking,6,"Well I been looking, 
I been laying low 
Mama I miss your cooking 
Girl I miss your soul 
Last night I was dreaming 
Of a world I believed in, 
Can't place the feeling 
That's on my mind 

But I'll be looking all night 
You know I'll be looking all night 

Though my body is freezing, 
My heart's on fire 
And I'll still believe in 
These higher powers 
And though I'll be beaten, 
Bruised and bleeding, 
Fooled and feeling oh so tired, 

I'll still be looking all night 
You know I'll be looking all night 

Well I been writing 
Haven't you heard? 
Yes, I been revising 
My whole life's worth 
And soon I'll be rising 
Revitalizing 
And I'll be flying across the earth 

But now I'm looking all night 
You know I'll be looking all night",0:03:57,5/1/2020,bass guitar;electric guitar;synthesizer;vocals;backup vocals;drums,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,indie;rock;alternative;,0,0,0,0,0,1,0,0,1,1,0,QZDA82018397
Oh My Love,Lovey Baby,2,"Well I met you in a crowd of pretty people
I told myself I wouldn't fall in love
But now we're on the road to the old church steeple
And oh sweet honey, you're still the one
Lovey baby, you're still the one

And now I don't know where I am
Or where I been, or where I'll be
But honey, I'll stick with you
'Cause as far as I can tell,
As I can touch, as I can see,
Sweet lady, our love gonna make it through

Now at first I must admit I wasn't hopin'
I didn't see much light inside your eyes
But every time you wake me in the morning
Oh, sweet sunshine, I'm still surprised
Lovey baby, I'm still surprised

That I don't know where I am
Or where I been, or where I'll be
But honey, I'll stick with you
'Cause as far as I can tell,
As I can touch, as I can see,
Sweet lady, our love gonna make it through

Sometimes we got hope
Sometimes it's hopeless
But sometimes all we got
And I'm so glad I spent sometime with you

Now the earthquakes they may shake and the clouds may tumble
And the hurricanes might blow us into bits
And the terrorists, they may leave us in the rubble
That's fine 'cause darling, our love don't quit
Lovey baby, our love will win

And now I don't know where I am
Or where I been, or where I'll be
But honey, I'll stick with you
Because as far as I can tell,
As I can touch, as I can see,
Sweet lady, our love gonna make it through, that's true
Lovey baby, our love gonna make it through!",0:03:36,12/25/2020,vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,folk;country;americana;,1,1,0,1,0,0,0,0,0,0,0,QZDA82018397
Oh My Love,Oh My Love,8,"Oh, my love
Oh, my love
Oh, my love
It's a long way home
It's a long way home, boys

Goodbye to you, my one and all
My once upon a time
I threw away my crystal ball
And now I walk the line

I saw a great distance,
A great distance,
A great missing you
But now I've gone that distance
I wish you'd gone there too

I used to think your love was all
And all was as it seemed
I saw you two-step through the wall
In my country western dreams

I saw the sun setting,
The sun setting
And I did not understand
That some things never settle,
They just drift like sand

Oh, my love
Oh, my love
Oh, my love
It's a long way home, boys
It's a long way home

Now I look upon this looming dawn
As I fly toward the west
I never thought that I could fall so long
I really thought I knew you the best

It's such a strange feeling
A strange feeling
And don't I know it too
That my true love, she's waiting
But she isn't you
No! She isn't you",0:04:22,12/25/2020,vocals;backup vocals;harmonica;electric guitar;pedal steel guitar;bass guitar;keyboard;drums,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,folk;rock;country;americana;,1,1,0,1,0,1,0,0,0,0,0,QZNWX2008882
Oh My Love,Oh My Love (Theme),1,"Oh my love
Oh my love
Oh my love,
It's a long way home
You know it's a long way home, boy",0:01:18,12/25/2020,vocals;electric guitar;pedal steel guitar;,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,folk;country;americana;,1,1,0,1,0,0,0,0,0,0,0,QZPLR2031045
Devil Rides Beside,Only a Child Of Roses,7,"Who laughs like love,
And cries like pain,
In teardrops of
The falling rain?

For all my faults
Who takes the blame,
Forgiving all
While he is slain?

Who sings a precious melody,
Sits beside and comforts me,
When I'm alone?

Oh, only a child
Only a child of roses.

Who gives away
His precious things
To stubborn fools
And wicked kings?

Who lifts the veil
So I might see
The greatest gift
Inside of me?

Who takes me by the weary hand,
Shows me through the desperate land,
And leads me home?

Oh, only a child
Only a child of roses.

Who rows the boat
And needs no oar
Through the wind and cold
And greets the shore?

Who fights with hope
And wins the war?
Who gives the flower
And keeps its thorn?

When dusk to dusk meets dawn to dawn,
When the road is lost and the feet have gone,
Who seats the throne?

Oh, only a child
Only a child,
Oh, only a child,
Only a child of roses.",0:03:57,5/1/2020,classical guitar;banjo;pedal steel guitar;vocals;synthesizer,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,folk;indie;gospel;,1,0,0,0,0,0,0,0,0,1,1,QZDA72098220
Devil Rides Beside,RV Park,4,"Darkness at the races, 
You looked so amazing, 
With your branded smile 
And a bread-knife in your hand

That's where I found salvation 
In the baseball celebration
You struck out before I even ran

On a midnight moon you told me 
Boy this life could be the only 
You better love me now or leave me while you can 

So while we can,
Let's go to the RV park, 
Hold each other close in the wandering dark 
I will be your one true star
You can trust me
How far to the meadowlark? 
How many miles till you break my heart?
Sometimes life is but a spark, 
And sometimes it's burning 

I met you in the trailer 
With the cowboy and the sailor
The sun went down, they left us for New York 

That's where you tried to woo me 
In the darkness like you knew me 
When I got up to leave you slammed the door 

Back then the world was young and easy 
And Father Time was but a feeling 
Now you're lost, I been losing it, and more 

And now I'm sure
Let's go to the RV park, 
Hold each other close in the wandering dark 
I will be your one true star 
You can trust me 
How far to the meadowlark? 
How many miles till you break my heart? 
Sometimes life is but a spark, 
And sometimes it's burning 

If the stars don't sing and the sun don't shine, you can trust me 
If God is truly on our side, you can trust me 
If hope is lost and death's on the line, you can trust me
I'll meet you on the borderline, you can trust me 
You can trust me
You can trust me
You can trust me

Born with little courage 
Frightened by the New Age 
Brought up by the fads and the funeral arts 

I wouldn't want to lose ya, 
My mutual medusa 
I think you and I could use another start 

In the cold and pointless weather 
I’m gonna march on toward forever 
I feel you now more than I ever did before 

And oh, my lord
Let's go to the RV park, 
Hold each other close in the wandering dark 
I will be your one true star 
You can trust me 
How far to the meadowlark? 
How many miles till you break my heart? 
Sometimes life is but a spark, 
And sometimes it's burning",0:04:29,5/1/2020,tambourine;pedal steel guitar;bass guitar;drums;vocals;backup vocals;synthesizer;electric guitar;acoustic guitar;,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,indie;rock;folk;,1,0,0,0,0,1,0,0,0,1,0,QZDA82018395
